# JD	Flux	Error
2.457127658090277575e+06 1.106843454519482295e+00 1.645977756067614969e-02
2.457127658206018619e+06 1.043482930662532837e+00 1.528950521922778361e-02
2.457127658321759198e+06 9.426336238724584149e-01 1.440712828817237480e-02
2.457127658437499776e+06 1.064033640941087544e+00 1.572305764750227958e-02
2.457127658553240821e+06 1.023882350843906996e+00 1.519077602121177671e-02
2.457127658668981399e+06 1.063695621978168582e+00 1.571818787866650219e-02
2.457127658784722444e+06 9.894544148915532800e-01 1.442657010815686855e-02
2.457127658900463022e+06 1.059699836751325730e+00 1.581923464645834318e-02
2.457127659016203601e+06 1.007984494192538882e+00 1.523478635257433968e-02
2.457127659131944645e+06 1.013015557578018644e+00 1.478531267120641868e-02
2.457127659247685224e+06 1.008284382974398596e+00 1.446337760063715581e-02
2.457127659363425802e+06 1.029441649812113724e+00 1.524048764732755142e-02
2.457127659479166847e+06 1.076475499428130034e+00 1.546985950473133212e-02
2.457127659594907425e+06 1.032485943244910720e+00 1.508599132685792092e-02
2.457127659710648004e+06 1.015421964711808567e+00 1.519204710518582031e-02
2.457127659826389048e+06 9.212581303075459971e-01 1.334273662665077902e-02
2.457127659942129627e+06 1.043460595423331805e+00 1.559142932296561299e-02
2.457127660057870205e+06 1.019481968211179312e+00 1.566756903439871923e-02
2.457127660173611250e+06 1.034206707267627534e+00 1.545685957757224338e-02
2.457127660289351828e+06 1.086595622195432265e+00 1.611622858020372515e-02
2.457127660405092407e+06 1.121264845126614507e+00 1.648260004128201950e-02
2.457127660520833451e+06 1.149763499093388708e+00 1.639428940658561179e-02
2.457127660636574030e+06 1.034643216782717090e+00 1.537767905665514759e-02
2.457127660752314609e+06 1.109383645514525396e+00 1.645777259064405348e-02
2.457127660868055653e+06 1.033299440414938486e+00 1.523487418361790975e-02
2.457127660983796231e+06 1.079327024556135717e+00 1.596799179214538830e-02
2.457127661099536810e+06 9.868503509200721169e-01 1.498583457814937903e-02
2.457127661215277854e+06 1.038689197206834613e+00 1.566222279864235012e-02
2.457127661331018433e+06 1.133990124066509564e+00 1.705398740999296281e-02
2.457127661446759477e+06 1.076781645544347077e+00 1.617819986941500601e-02
2.457127661562500056e+06 1.036671127984555518e+00 1.527814413388578485e-02
2.457127661678240635e+06 1.041985607362327482e+00 1.533665825720015655e-02
2.457127661793981679e+06 9.710614188268102964e-01 1.484290785909200480e-02
2.457127661909722257e+06 9.574164239071326632e-01 1.415923080348131281e-02
2.457127662025462836e+06 1.031508975111334214e+00 1.518602929811866710e-02
2.457127662141203880e+06 9.998285598260258089e-01 1.483517505817604984e-02
2.457127662256944459e+06 1.024653880446834364e+00 1.523678488382490884e-02
2.457127662372685038e+06 1.011615921752902825e+00 1.487429987235001569e-02
2.457127662488426082e+06 1.014638583833220586e+00 1.533972096575149380e-02
2.457127662604166660e+06 9.879972694255688692e-01 1.452871821340806155e-02
2.457127662719907239e+06 9.205141711701548823e-01 1.376831471959475729e-02
2.457127662835648283e+06 1.100245325971577204e+00 1.623764053982428360e-02
2.457127662951388862e+06 9.959911889420612896e-01 1.497734789128413700e-02
2.457127663067129441e+06 1.067282114024012074e+00 1.584108554947741276e-02
2.457127663182870485e+06 9.787068942683532224e-01 1.447602905446163275e-02
2.457127663298611064e+06 1.077053627790131918e+00 1.599510834286265934e-02
2.457127663414351642e+06 9.843219131390624765e-01 1.480385555164617090e-02
2.457127663530092686e+06 9.154751618093509569e-01 1.371067548913113866e-02
2.457127663645833265e+06 9.762611825411148248e-01 1.434263797972682927e-02
2.457127663761573844e+06 1.001173017088924810e+00 1.503269073162438046e-02
2.457127663877314888e+06 9.583837194272066817e-01 1.447067822118001772e-02
2.457127663993055467e+06 9.567979150819787559e-01 1.463056945497476571e-02
2.457127664108796511e+06 1.036922443184955522e+00 1.528652529611921988e-02
